Hashcode,City,State,Zip,County Number,Fips Code
734231710,kasaan,AK,99950,130,2130
734150986,wrangell,AK,99929,275,2275
734150025,ward cove,AK,99928,130,2130
734149064,point baker,AK,99927,198,2198
734148103,metlakatla,AK,99926,198,2198
734147142,klawock,AK,99925,198,2198
734145220,hyder,AK,99923,198,2198
734144259,hydaburg,AK,99922,198,2198
734143298,craig,AK,99921,198,2198
734121195,thorne bay,AK,99919,198,2198
734120234,coffman cove,AK,99918,198,2198
734085638,ketchikan,AK,99903,130,2130
734083716,naukati bay,AK,99901,130,2130
733308189,juneau,AK,99850,110,2110
733279359,tenakee spgs,AK,99841,105,2105
733278398,skagway,AK,99840,230,2230
733254373,sitka,AK,99836,220,2220
733253412,sitka,AK,99835,220,2220
733251490,kupreanof,AK,99833,195,2195
733250529,pelican,AK,99832,105,2105
733248607,kake,AK,99830,195,2195
733227465,hoonah,AK,99829,105,2105
733225543,haines,AK,99827,100,2100
733224582,gustavus,AK,99826,105,2105
733223621,elfin cove,AK,99825,105,2105
733222660,douglas,AK,99824,110,2110
733219777,juneau,AK,99821,110,2110
733218816,angoon,AK,99820,105,2105
733190947,juneau,AK,99812,110,2110
733189986,juneau,AK,99811,110,2110
733162117,juneau,AK,99803,110,2110
733161156,juneau,AK,99802,110,2110
733160195,juneau,AK,99801,110,2110
732504793,barrow,AK,99791,185,2185
732503832,fairbanks,AK,99790,90,2090
732482690,nuiqsut,AK,99789,185,2185
732481729,fort yukon,AK,99788,290,2290
732479807,ambler,AK,99786,188,2188
732478846,brevig mission,AK,99785,180,2180
732477885,white mtn,AK,99784,180,2180
732476924,wales,AK,99783,180,2180
732475963,wainwright,AK,99782,185,2185
732475002,venetie,AK,99781,290,2290
732474041,mentasta lake,AK,99780,240,2240
732451938,teller,AK,99778,180,2180
732450977,tanana,AK,99777,290,2290
732450016,tanacross,AK,99776,240,2240
732449055,fairbanks,AK,99775,90,2090
732448094,stevens village,AK,99774,290,2290
732447133,shungnak,AK,99773,188,2188
732446172,shishmaref,AK,99772,180,2180
732445211,shaktoolik,AK,99771,180,2180
732444250,selawik,AK,99770,188,2188
732423108,savoonga,AK,99769,180,2180
732422147,ruby,AK,99768,290,2290
732421186,fairbanks,AK,99767,290,2290
732420225,point hope,AK,99766,185,2185
732419264,nulato,AK,99765,290,2290
732418303,northway,AK,99764,240,2240
732417342,noorvik,AK,99763,188,2188
732416381,ltl diomede,AK,99762,180,2180
732415420,noatak,AK,99761,188,2188
732414459,nenana,AK,99760,290,2290
732393317,point lay,AK,99759,185,2185
732392356,minto,AK,99758,290,2290
732391395,lake minchumina,AK,99757,290,2290
732390434,manley spgs,AK,99756,290,2290
732389473,healy,AK,99755,68,2068
732388512,koyukuk,AK,99754,290,2290
732387551,koyuk,AK,99753,180,2180
732386590,kotzebue,AK,99752,188,2188
732385629,kobuk,AK,99751,188,2188
732384668,kivalina,AK,99750,188,2188
732363526,kiana,AK,99749,188,2188
732362565,kaltag,AK,99748,290,2290
732361604,kaktovik,AK,99747,185,2185
732360643,huslia,AK,99746,290,2290
732359682,hughes,AK,99745,290,2290
732358721,anderson,AK,99744,68,2068
732357760,healy,AK,99743,68,2068
732356799,gambell,AK,99742,180,2180
732355838,galena,AK,99741,290,2290
732354877,ft yukon,AK,99740,290,2290
732333735,elim,AK,99739,180,2180
732332774,eagle,AK,99738,240,2240
732331813,dot lake,AK,99737,240,2240
732330852,deering,AK,99736,188,2188
732328930,barrow,AK,99734,185,2185
732327969,circle,AK,99733,290,2290
732327008,chicken,AK,99732,240,2240
732326047,delta jct,AK,99731,240,2240
732325086,central,AK,99730,290,2290
732303944,cantwell,AK,99729,68,2068
732302022,buckland,AK,99727,188,2188
732301061,bettles field,AK,99726,290,2290
732300100,ester,AK,99725,90,2090
732299139,beaver,AK,99724,290,2290
732298178,barrow,AK,99723,185,2185
732297217,arctic village,AK,99722,290,2290
732296256,anaktuvuk pass,AK,99721,185,2185
732295295,allakaket,AK,99720,290,2290
732271270,fairbanks,AK,99716,90,2090
732269348,fairbanks,AK,99714,90,2090
732267426,fairbanks,AK,99712,90,2090
732266465,fairbanks,AK,99711,90,2090
732265504,fairbanks,AK,99710,90,2090
732244362,fairbanks,AK,99709,90,2090
732243401,fairbanks,AK,99708,90,2090
732242440,fairbanks,AK,99707,90,2090
732241479,fairbanks,AK,99706,90,2090
732240518,fairbanks,AK,99705,90,2090
732239557,nenana,AK,99704,68,2068
732238596,ft wainwright,AK,99703,90,2090
732237635,fairbanks,AK,99702,90,2090
732236674,fairbanks,AK,99701,90,2090
731587038,kodiak,AK,99697,150,2150
731585116,anchorage,AK,99695,20,2020
731584155,houston,AK,99694,170,2170
731583194,girdwood,AK,99693,261,2261
731582233,unalaska,AK,99692,16,2016
731581272,mc grath,AK,99691,290,2290
731580311,nightmute,AK,99690,50,2050
731559169,yakutat,AK,99689,282,2282
731558208,willow,AK,99688,170,2170
731557247,wasilla,AK,99687,170,2170
731556286,valdez,AK,99686,261,2261
731555325,unalaska,AK,99685,16,2016
731554364,unalakleet,AK,99684,180,2180
731553403,trapper creek,AK,99683,170,2170
731552442,tyonek,AK,99682,122,2122
731551481,tununak,AK,99681,50,2050
731550520,tuntutuliak,AK,99680,50,2050
731529378,tuluksak,AK,99679,50,2050
731528417,togiak,AK,99678,70,2070
731527456,cordova,AK,99677,261,2261
731526495,talkeetna,AK,99676,170,2170
731525534,takotna,AK,99675,290,2290
731524573,chickaloon,AK,99674,170,2170
731522651,sterling,AK,99672,122,2122
731521690,stebbins,AK,99671,180,2180
731520729,south naknek,AK,99670,60,2060
731499587,soldotna,AK,99669,122,2122
731498626,sleetmute,AK,99668,50,2050
731497665,skwentna,AK,99667,170,2170
731496704,nunam iqua,AK,99666,270,2270
731495743,shageluk,AK,99665,290,2290
731494782,seward,AK,99664,122,2122
731493821,seldovia,AK,99663,122,2122
731492860,scammon bay,AK,99662,270,2270
731491899,sand point,AK,99661,13,2013
731490938,saint paul,AK,99660,16,2016
731469796,saint michael,AK,99659,180,2180
731468835,st marys,AK,99658,270,2270
731467874,russian msn,AK,99657,270,2270
731466913,red devil,AK,99656,50,2050
731465952,quinhagak,AK,99655,50,2050
731464991,wasilla,AK,99654,170,2170
731464030,port alsworth,AK,99653,164,2164
731463069,wasilla,AK,99652,170,2170
731462108,platinum,AK,99651,50,2050
731461147,pilot station,AK,99650,270,2270
731440005,pilot point,AK,99649,164,2164
731439044,perryville,AK,99648,164,2164
731438083,pedro bay,AK,99647,164,2164
731436161,palmer,AK,99645,170,2170
731435200,ouzinkie,AK,99644,150,2150
731434239,old harbor,AK,99643,150,2150
731432317,nunapitchuk,AK,99641,50,2050
731431356,nondalton,AK,99640,164,2164
731410214,ninilchik,AK,99639,122,2122
731409253,nikolski,AK,99638,16,2016
731408292,toksook bay,AK,99637,50,2050
731407331,new stuyahok,AK,99636,70,2070
731406370,nikiski,AK,99635,122,2122
731405409,napakiak,AK,99634,50,2050
731404448,naknek,AK,99633,60,2060
731403487,mountain vlg,AK,99632,270,2270
731402526,moose pass,AK,99631,122,2122
731401565,mekoryuk,AK,99630,50,2050
731380423,meadow lake,AK,99629,170,2170
731379462,manokotak,AK,99628,70,2070
731378501,mc grath,AK,99627,290,2290
731377540,lower kalskag,AK,99626,50,2050
731376579,levelock,AK,99625,164,2164
731375618,larsen bay,AK,99624,150,2150
731374657,meadow lake,AK,99623,170,2170
731373696,kwigillingok,AK,99622,50,2050
731372735,kwethluk,AK,99621,50,2050
731371774,kotlik,AK,99620,270,2270
731350632,uscgs,AK,99619,150,2150
731346788,akhiok,AK,99615,150,2150
731345827,kipnuk,AK,99614,50,2050
731344866,igiugig,AK,99613,60,2060
731343905,king cove,AK,99612,13,2013
731342944,nikiski,AK,99611,122,2122
731341983,kasilof,AK,99610,122,2122
731320841,kasigluk,AK,99609,50,2050
731319880,karluk,AK,99608,150,2150
731318919,kalskag,AK,99607,50,2050
731317958,kokhonak,AK,99606,164,2164
731316997,hope,AK,99605,122,2122
731316036,hooper bay,AK,99604,270,2270
731315075,nanwalek,AK,99603,122,2122
731314114,holy cross,AK,99602,290,2290
730665439,anchorage,AK,99599,20,2020
730657751,st george is,AK,99591,16,2016
730656790,grayling,AK,99590,290,2290
730635648,goodnews bay,AK,99589,50,2050
730634687,glennallen,AK,99588,261,2261
730633726,girdwood,AK,99587,20,2020
730632765,miers lake,AK,99586,261,2261
730631804,marshall,AK,99585,270,2270
730629882,false pass,AK,99583,13,2013
730627960,emmonak,AK,99581,270,2270
730626999,ekwok,AK,99580,70,2070
730605857,egegik,AK,99579,164,2164
730604896,eek,AK,99578,50,2050
730603935,eagle river,AK,99577,20,2020
730602974,twin hills,AK,99576,70,2070
730602013,crooked creek,AK,99575,50,2050
730601052,cordova,AK,99574,261,2261
730600091,copper center,AK,99573,261,2261
730599130,cooper lndg,AK,99572,122,2122
730598169,adak,AK,99571,13,2013
730576066,clarks point,AK,99569,70,2070
730575105,clam gulch,AK,99568,122,2122
730574144,chugiak,AK,99567,20,2020
