Zip	City Set	StateSet	CorrectState
10965	[pearl river, chestnut ridge]	[NY, NJ]	NY
10964	[palisades]	[NY, NJ]	NY
10983	[tappan]	[NY, NJ]	NY
10925	[greenwood lk, greenwood lake]	[NY, NJ]	NY
24602	[bandy]	[VA, WV]	VA
24622	[jewell valley, jewell ridge]	[VA, WV]	VA
96134	[tionesta, newell, tulelake, lava beds national monument, medicine lake lodge]	[CA, OR]	CA
68325	[byron]	[KS, NE]	NE
68327	[chester]	[KS, NE]	NE
35447	[pickensville, carrollton]	[AL, MS]	AL
80737	[julesburg]	[CO, NE]	CO
82725	[recluse]	[WY, MT]	WY
82701	[newcastle]	[SD, WY]	WY
12719	[barryville]	[NY, PA]	NY
68420	[pawnee city]	[KS, NE]	NE
68466	[wymore, sicily]	[KS, NE]	NE
82930	[bear river, evanston]	[UT, WY]	WY
68777	[spencer]	[SD, NE]	NE
39819	[bdge, bainbridge]	[GA, FL]	GA
19973	[blades, seaford]	[DE, MD]	DE
10590	[lake kitchawan, south salem, lewisboro]	[NY, CT]	NY
10506	[bedford village, banksville, bedford]	[NY, CT]	NY
10509	[brewster, sears corners, southeast]	[NY, CT]	NY
82063	[woods landing, jelm, laramie]	[WY, CO]	WY
82070	[jelm, bosler, laramie, foxpark]	[WY, CO]	WY
82082	[pine bluffs]	[WY, CO, NE]	WY
35958	[bryant]	[GA, AL]	AL
58845	[westby, alkabo, grenora]	[ND, MT]	ND
58838	[cartwright]	[ND, MT]	ND
89421	[mcdermitt, cordero, mc dermitt]	[NV, OR]	NV
89439	[verdi]	[NV, CA]	NV
58623	[griffin, buffalo springs, ladd, bowman, buffalo spg]	[SD, ND]	ND
58621	[beach, trotters]	[ND, MT]	ND
58649	[reeder]	[SD, ND]	ND
58639	[bucyrus, haynes, hettinger]	[SD, ND]	ND
99030	[rockford]	[WA, ID]	WA
99025	[newman lake, east farms]	[WA, ID]	WA
58568	[selfridge]	[SD, ND]	ND
54540	[land o lakes]	[MI, WI]	WI
56164	[pipestone, verdi, hatfield, ihlen]	[SD, MN]	MN
56144	[trosky, jasper]	[SD, MN]	MN
56220	[canby]	[SD, MN]	MN
56219	[browns valley]	[SD, MN]	MN
56257	[marietta, nassau]	[SD, MN]	MN
58053	[lidgerwood, geneseo]	[SD, ND]	ND
58043	[havana]	[SD, ND]	ND
58041	[hankinson]	[SD, ND]	ND
68978	[cadams, superior, bostwick]	[KS, NE]	NE
68943	[hardy]	[KS, NE]	NE
72338	[frenchman byu, frenchmans bayou]	[AR, TN]	AR
31905	[cols, columbus, camp rogers, fort benning]	[GA, AL]	GA
72395	[reverie tn, wilson]	[AR, TN]	AR
36855	[five points]	[GA, AL]	AL
66955	[mahaska]	[KS, NE]	KS
52542	[cantril]	[MO, IA]	IA
52537	[savannah, monterey, stiles, belknap, west grove, mark, troy, bloomfield]	[MO, IA]	IA
58439	[forbes]	[SD, ND]	ND
58436	[ellendale, monango]	[SD, ND]	ND
99128	[farmington]	[WA, ID]	WA
72444	[maynard]	[AR, MO]	AR
52626	[farmington, croton]	[MO, IA]	IA
70438	[franklinton, thomas, sheridan]	[LA, MS]	LA
70444	[new zion, kentwood, sunnyhill, springcreek]	[LA, MS]	LA
